HS_Code,Description,Exemption_List,Scope_Limitation
1209.29.10,"Beet seed, other than sugar beet seed, of a kind used for sowing",new,
1209.29.91,"Seeds of forage plants of a kind used for sowing, not elsewhere specified or included",new,
1209.30.00,Seeds of herbaceous plants cultivated principally for their flowers,new,
1209.91.10,Cauliflower seeds of a kind used for sowing,new,
1209.91.20,Celery seeds of a kind used for sowing,new,
1209.91.40,Onion seeds of a kind used for sowing,new,
1209.91.50,Parsley seeds of a kind used for sowing,new,
1209.91.60,Pepper seeds of a kind used for sowing,new,
1209.91.80,"Vegetable seeds, nesoi, of a kind used for sowing",new,
1209.99.20,Tree and shrub seeds of a kind used for sowing,new,
1209.99.41,"Seeds, fruits and spores, of a kind used for sowing, nesoi",new,
1404.90.90,Other vegetable materials nesoi,both,
1513.11.00,"Coconut (copra) oil and its fractions, crude oil",both,
1513.19.00,"Coconut (copra) oil and its fractions, other",both,
1521.10.00,"Vegetable waxes (other than triglycerides), whether or not refined or colored",both,
1521.90.20,Bleached beeswax,both,
1602.50.05,"Offal of bovine animals, prepared or preserved",both,
1602.50.07,Corned beef in airtight containers,both,
1602.50.08,"Offal of bovine animals, cured or pickled, not corned beef, not in airtight containers",both,
1602.50.21,"Offal of bovine animals, other, in airtight containers",both,
1602.50.60,"Prepared or preserved meat of bovine animals, not containing cereals or vegetables, nesoi",both,
1602.50.90,"Prepared or preserved meat of bovine animals, containing cereals or vegetables",both,
1701.12.10,"Beet sugar, raw, in solid form, w/o added flavoring or coloring, subject to add. US 5 to Ch.17",new,
1701.13.10,"Cane sugar, raw, specified in subheading 2 and subject to add'l note 5 to this chapter, in solid form, w/o added flavoring or coloring",new,
1701.14.10,"Other cane sugar, raw, in solid form, w/o added flavoring or coloring, subject to add. US 5 to Ch.17",new,
1701.91.10,"Cane/beet sugar & pure sucrose, refined, solid, w/added coloring but not flav., subject to add. US 5 to Ch.17",new,
1701.99.10,"Cane/beet sugar & pure sucrose, refined, solid, w/o added coloring or flavoring, subject to add. US 5 to Ch.17",new,
1702.90.10,"Cane/beet sugars & syrups (incl. invert sugar); nesoi, w/soluble non-sugar solids 6% or less soluble solids, subj Ch17 US note 5",new,
1801.00.00,"Cocoa beans, whole or broken, raw or roasted",both,
1802.00.00,"Cocoa shells, husks, skins and other cocoa waste",both,
1803.10.00,"Cocoa paste, not defatted",both,
1803.20.00,"Cocoa paste, wholly or partly defatted",both,
1804.00.00,"Cocoa butter, fat and oil",both,
1805.00.00,"Cocoa powder, not containing added sugar or other sweetening matter",both,
1903.00.20,"Tapioca and substitutes prepared from starch, of arrowroot, cassava or sago, in the form of flakes, grains, pearls, siftings or in similar forms",both,
1903.00.40,"Tapioca and substitutes, prepared from starch nesoi, in the form of flakes, grains, pearls, siftings or in similar forms",both,
1905.90.10,"Bread, pastry, cakes, biscuits and similar baked products, nesoi, and puddings, whether or not containing chocolate, fruit, nuts or confectionery, for religious purposes only",both,Ex
1905.90.90,"Bakers’ wares, communion wafers, sealing wafers, rice paper and similar products, nesoi, for religious purposes only",both,Ex
2001.90.45,"Mangoes, prepared or preserved by vinegar or acetic acid",both,
2005.91.60,"Bamboo shoots in airtight containers, prepared or preserved otherwise than by vinegar or acetic acid, not frozen, not preserved by sugar",both,
2006.00.40,"Pineapples, preserved by sugar (drained, glacé or crystallized)",both,
2007.99.40,Pineapple jam,both,
2007.99.50,"Guava and mango pastes and purees, being cooked preparations",both,
2008.19.15,"Coconuts, otherwise prepared or preserved, nesoi",both,
2008.20.00,"Pineapples, otherwise prepared or preserved, nesoi",both,
2008.30.35,Orange pulp,new,
2008.91.00,"Palm hearts, otherwise prepared or preserved, nesoi",both,
2008.99.13,"Banana pulp, otherwise prepared or preserved, nesoi",both,
2008.99.15,"Bananas, other than pulp, otherwise prepared or preserved, nesoi",both,
2008.99.21,Acai,both,Ex
2008.99.40,"Mangoes, otherwise prepared or preserved, nesoi",both,
2008.99.45,"Papaya pulp, otherwise prepared or preserved, nesoi",both,
2008.99.91,"Bean cake, bean stick, miso, other fruit, nuts and other edible parts of plants, prepared or preserved",both,
2009.11.00,"Orange juice, frozen, unfermented and not containing added spirit",both,
2009.12.25,"Orange juice, not frozen, of a Brix value not exceeding 20, not concentrated and not made from juice having a degree of concentration of 1.5 or more, unfermented",both,
2009.12.45,"Orange juice, not frozen, of a Brix value not exceeding 20, concentrated, unfermented",both,
2009.19.00,"Orange juice, not frozen, of a Brix value exceeding 20, unfermented",both,
2009.31.60,"Citrus juice of any single citrus fruit (other than orange, grapefruit or lime), of a Brix value not exceeding 20, concentrated, unfermented, except for lemon juice",both,Ex
2009.39.20,"Lime juice, of a Brix value exceeding 20, fit for beverage purposes, unfermented",both,
2009.49.40,"Pineapple juice, of a Brix value exceeding 20, concentrated (in degree of concentration greater than 3.5)",both,
2009.89.70,Coconut water or juice of acai,both,Ex
2009.90.40,"Coconut water juice blends, not from concentrate, packaged for retail sale",both,Ex
2101.11.21,"Instant coffee, not flavored",new,
2101.11.29,"Extracts, essences and concentrates of coffee other than unflavored instant coffee",both,
2101.12.90,"Preparations nesoi, with a basis of extracts, essences or concentrates or with a basis of coffee",both,
2101.20.20,"Extracts, essences or concentrates of tea or mate",both,
2106.90.44,"Syrups from cane/beet sugar, neosi, w/added coloring but not added flavoring, subject to add US note 5 to Ch. 17, not GN15",new,
2106.90.48,"Orange juice, fortified with vitamins or minerals",both,
2106.90.99,Acai preparations for the manufacture of beverages,both,Ex
2202.99.30,"Orange juice, fortified with vitamins or minerals, not made from a juice having a degree of concentration of 1.5 or more",both,
2202.99.35,"Orange juice, fortified with vitamins or minerals, nesoi",both,
2503.00.00,"Sulfur of all kinds, other than sublimed, precipitated and colloidal sulfur",new,
2504.10.10,"Natural graphite, crystalline flake (not including flake dust)",both,
2504.10.50,Natural graphite in powder or flakes other than crystalline flake,both,
2504.90.00,"Natural graphite, other than in powder or in flakes",both,
2510.10.00,"Natural calcium phosphates, natural aluminum calcium phosphates, unground",both,
2510.20.00,"Natural calcium phosphates, natural aluminum calcium phosphates, ground",both,
2511.10.10,"Natural barium sulfate (barytes), ground",both,
2511.10.50,"Natural barium sulfate (barytes), not ground",both,
2519.10.00,Natural magnesium carbonate (magnesite),both,
2519.90.10,"Fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering",both,
2519.90.20,Caustic calcined magnesite,both,
2524.90.00,Asbestos other than crocidolite,both,
2529.21.00,"Fluorspar, containing by weight 97 percent or less of calcium fluoride",both,
2529.22.00,"Fluorspar, containing by weight more than 97 percent of calcium fluoride",both,
2530.20.10,Kieserite,both,
2530.20.20,Epsom salts (natural magnesium sulfates),both,
2530.90.10,Natural cryolite; natural chiolite,both,
2530.90.20,Natural micaceous iron oxides,both,
2530.90.80,"Other mineral substances, nesoi",both,
2601.11.00,Non-agglomerated iron ores and concentrates,new,
2601.20.00,Agglomerated iron ores and concentrates,new,
2602.00.00,Manganese ores and concentrates including ferruginous manganese ores and concentrates with manganese content over 20 percent calculated on the dry weight,both,
2603.00.00,Copper ores and concentrates,both,
2604.00.00,Nickel ores and concentrates,both,
2605.00.00,Cobalt ores and concentrates,both,
2606.00.00,Aluminum ores and concentrates,both,
2608.00.00,Zinc ores and concentrates,both,
2609.00.00,Tin ores and concentrates,both,
2610.00.00,Chromium ores and concentrates,both,
2611.00.30,Tungsten ores,both,
2611.00.60,Tungsten concentrates,both,
2612.10.00,Uranium ores and concentrates,both,
2612.20.00,Thorium ores and concentrates,both,
2613.90.00,"Molybdenum ores and concentrates, not roasted",both,
2614.00.30,Synthetic rutile,both,
2614.00.60,"Titanium ores and concentrates, other than synthetic rutile",both,
2615.90.30,Synthetic tantalum-niobium concentrates,both,
2615.90.60,"Niobium, tantalum or vanadium ores and concentrates, nesoi",both,
2616.10.00,Silver ores and concentrates,both,
2617.10.00,Antimony ores and concentrates,both,
2620.30.00,"Ash and residues (other than from the manufacture of iron or steel), containing mainly copper",both,
2620.99.50,"Slag (other than from the manufacture of iron or steel) containing over 40 percent titanium, and which if containing over 2 percent by weight of copper, lead, or zinc is not to be treated for the recovery thereof",both,
2701.11.00,"Coal, anthracite, whether or not pulverized, but not agglomerated",both,
2701.12.00,"Coal, bituminous, whether or not pulverized, but not agglomerated",both,
2701.19.00,"Coal, other than anthracite or bituminous, whether or not pulverized, but not agglomerated",both,
2701.20.00,"Coal, briquettes, ovoids and similar solid fuels manufactured from coal",both,
2702.10.00,"Lignite (excluding jet), whether or not pulverized, but not agglomerated",both,
2702.20.00,"Lignite (excluding jet), agglomerated",both,
2703.00.00,"Peat (including peat litter), whether or not agglomerated",both,
2704.00.00,"Coke and semicoke of coal, lignite or peat, whether or not agglomerated; retort carbon",both,
2705.00.00,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",both,
2706.00.00,"Tars (including reconstituted tars), distilled from coal, lignite or peat, and other mineral tars, whether dehydrated or partially distilled",both,
2707.10.00,"Benzene, from the distillation of high-temperature coal tar, or in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents",both,
2707.20.00,"Toluene, from the distillation of high-temperature coal tar, or in which the weight of aromatic constituents exceeds that of the nonaromatic constituents",both,
2707.30.00,"Xylenes, from the distillation of high-temperature coal tar, or in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents",both,
2707.40.00,"Naphthalene, from the distillation of high- temperature coal tar, or in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents",both,
2707.50.00,"Aromatic hydrocarbon mixtures (from the distillation of high-temperature coal tar, or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents), other than Benzene, Toluene, Xylenes, and Naphathalene, in which 65% or more by volume (including losses) distills at 250 C by the ISO 3405 method (equivalent to the ASTM D 86 method)",both,
2707.91.00,"Creosote oils, from the distillation of high- temperature coal tar or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents",both,
2707.99.10,"Light oil, from the distillation of high-temperature coal tar or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents",both,
2707.99.20,"Picolines, from the distillation of high-temperature coal tar or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents",both,
2707.99.40,"Carbazole, from the distillation of high-temperature coal tar or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents, having a purity of 65 percent or more by weight",both,
2707.99.51,"Phenols, from the distillation of high-temperature coal tar or similar products in which the weight of aromatic constituents exceeds that of nonaromatic constituents, containing more than 50 percent by weight of hydroxybenzene",both,
2707.99.55,"Metacresol, orthocresol, paracresol, and metaparacresol, from the distillation of high- temperature coal tar or similar products where the weight of the aromatic constituents exceeds that of the nonaromatic constituents, having a purity of 75 percent or more by weight",both,
2707.99.59,"Phenols, nesoi",both,
2707.99.90,"Other products of the distillation of high-temperature coal tar and similar products in which the weight of the aromatic constituents exceed that of the nonaromatic constituents, nesoi",both,
2708.10.00,"Pitch, obtained from coal tar or other mineral tars",both,
