HS Code,Description,Status
2914.11.10,"Acetone, derived in whole or in part from cumene",New (added in July)
2914.29.30,Natural camphor,New (added in July)
2914.29.50,"Cyclanic, cyclenic or cycloterpenic ketones without other oxygen function, nesoi",New (added in July)
2914.39.90,"Aromatic ketones without other oxygen function, nesoi",New (added in July)
2914.40.40,"Aromatic ketone-alcohols and ketone-aldehydes, nesoi",New (added in July)
2914.50.10,5-Benzoyl-4-hydroxy-2-methoxybenzene-sulfonic acid,New (added in July)
2914.71.00,"Halogenated, sulfonated, nitrated or nitrosated derivatives: chlordecone (ISO)",New (added in July)
2914.79.10,"2,3-dichloro-1,4-naphthoquinone and other artificial musks",New (added in July)
2914.79.60,1-Chloro-5-hexanone,New (added in July)
2914.79.90,"Other halogenated, sulfonated, nitrated or nitrosated derivatives of nonaromatic ketones and quinones whether or not with other oxygen function",New (added in July)
2915.21.00,Acetic acid,New (added in July)
2915.24.00,Acetic anhydride,New (added in July)
2915.29.50,Other salts of acetic acid,New (added in July)
2915.32.00,Vinyl acetate,New (added in July)
2915.36.00,Dinoseb (ISO) acetate,New (added in July)
2915.39.10,Benzyl acetate,New (added in July)
2915.39.40,Linalyl acetate,New (added in July)
2915.39.45,"Odoriferous or flavoring compounds of nonaromatic esters of acetic acid, nesoi",New (added in July)
2915.39.70,Isobutyl acetate,New (added in July)
2915.40.10,Chloroacetic acids,New (added in July)
2915.40.20,"Aromatic salts and esters of chlorocetic acids, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2915.40.30,"Aromatic salts and esters of chlorocetic acids, nesoi",New (added in July)
2915.40.50,"Nonaromatic salts and esters of chlorocetic acids, nesoi",New (added in July)
2915.50.20,Aromatic salts and esters of propionic acid,New (added in July)
2916.16.00,Binapacryl (ISO),New (added in July)
2916.31.30,"Benzoic acid esters, except odoriferous or flavoring compounds, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2916.39.15,Ibuprofen,New (added in July)
2916.39.17,"2,2-Dichlorophenylacetic acid, ethyl ester and m- Toluic acid",New (added in July)
2917.19.15,"Fumaric acid, derived in whole or in part from aromatic hydrocarbons",New (added in July)
2917.19.17,Fumaric acid except derived in whole or in part from aromatic hydrocarbons,New (added in July)
2917.19.20,"Specified acyclic polycarboxylic acids and their derivatives, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2917.19.23,Maleic acid,New (added in July)
2917.19.27,"Succinic acid, glutaric acid, and their derivatives, and derivatives of adipic, fumeric and maleic acids, nesoi",New (added in July)
2917.19.30,Ethylene brassylate,New (added in July)
2917.19.35,Malonic acid,New (added in July)
2917.19.40,"Acyclic polycarboxylic acids, derived from aromatic hydrocarbons, and their derivatives, nesoi",New (added in July)
2917.20.00,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",New (added in July)
2917.37.00,Dimethyl terephthalate,New (added in July)
2918.12.00,Tartaric acid,New (added in July)
2918.14.00,Citric acid,New (added in July)
2918.18.00,Chlorobenzilate (ISO),New (added in July)
2918.19.15,Other Phenylglycolic (Mandelic) acid salts and esters,New (added in July)
2918.19.20,"Aromatic carboxylic acids with alcohol function, without other oxygen functions, and their derivatives, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2918.19.31,"Aromatic carboxylic acids with alcohol function, without other oxygen functions, and their derivatives, nesoi",New (added in July)
2918.21.10,"Salicylic acid and its salts, suitable for medicinal use",New (added in July)
2918.23.10,Salol (Phenyl salicylate) suitable for medicinal use,New (added in July)
2918.29.22,p-Hydroxybenzoic acid,New (added in July)
2918.30.10,"1-Formylphenylacetic acid, methyl ester",New (added in July)
2918.30.15,"2-Chloro-4,5-difluoro-beta -oxobenzenepropanoic acid, ethyl ester; and Ethyl 2-keto-4-phenylbutanoate",New (added in July)
2918.30.70,"Dimethyl acetyl succinate; Oxalacetic acid diethyl ester, sodium salt; 4,4,4-Trifluoro-3-oxobutanoic acid, both ethyl and methyl ester versions",New (added in July)
2918.99.05,p-Anisic acid; clofibrate and 3-phenoxybenzoic acid,New (added in July)
2919.10.00,"Tris(2,3-dibromopropyl phosphate)",New (added in July)
