HS Code,Description,New or Existing,Applies To,Scope Limitation
0904.22.73,"Mixtures of mashed or macerated hot red peppers and salt, nesoi",Existing,All investigated economies (universal list),
0904.22.76,"Fruits of the genus Capsicum, crushed or ground, nesoi",Existing,All investigated economies (universal list),
0904.22.80,"Fruits of the genus Pimenta (including allspice), crushed or ground",Existing,All investigated economies (universal list),
0905.10.00,"Vanilla beans, neither crushed nor ground",Existing,All investigated economies (universal list),
0905.20.00,"Vanilla beans, crushed or ground",Existing,All investigated economies (universal list),
0906.11.00,"Cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground",Existing,All investigated economies (universal list),
0906.19.00,"Cinnamon and cinnamon-tree flowers, nesoi, neither crushed nor ground",Existing,All investigated economies (universal list),
0906.20.00,"Cinnamon and cinnamon-tree flowers, crushed or ground",Existing,All investigated economies (universal list),
0907.10.00,"Cloves (whole fruit, cloves and stems), neither crushed nor ground",Existing,All investigated economies (universal list),
0907.20.00,"Cloves (whole fruit, cloves and stems), crushed or ground",Existing,All investigated economies (universal list),
0908.11.00,"Nutmeg, neither crushed nor ground",Existing,All investigated economies (universal list),
0908.12.00,"Nutmeg, crushed or ground",Existing,All investigated economies (universal list),
0908.21.00,"Mace, neither crushed nor ground",Existing,All investigated economies (universal list),
0908.22.20,"Mace, ground, Bombay or wild",Existing,All investigated economies (universal list),
0908.22.40,"Mace, crushed or ground, other than ground Bombay or wild mace",Existing,All investigated economies (universal list),
0908.31.00,"Cardamoms, neither crushed nor ground",Existing,All investigated economies (universal list),
0908.32.00,"Cardamoms, crushed or ground",Existing,All investigated economies (universal list),
0909.21.00,"Seeds of coriander, neither crushed nor ground",Existing,All investigated economies (universal list),
0909.22.00,"Seeds of coriander, crushed or ground",Existing,All investigated economies (universal list),
0909.31.00,"Seeds of cumin, neither crushed nor ground",Existing,All investigated economies (universal list),
0909.32.00,"Seeds of cumin, crushed or ground",Existing,All investigated economies (universal list),
0909.61.00,"Seeds of anise, badian, caraway or fennel; juniper berries; neither crushed nor ground",Existing,All investigated economies (universal list),
0909.62.00,"Seeds of anise, badian, caraway or fennel; juniper berries; crushed or ground",Existing,All investigated economies (universal list),
0910.11.00,"Ginger, neither crushed nor ground",Existing,All investigated economies (universal list),
0910.12.00,"Ginger, crushed or ground",Existing,All investigated economies (universal list),
0910.20.00,Saffron,Existing,All investigated economies (universal list),
0910.30.00,Turmeric (curcuma),Existing,All investigated economies (universal list),
0910.91.00,Mixtures of spices referred to in note 1(b) to chapter 9 of the HTSUS,Existing,All investigated economies (universal list),
0910.99.07,"Bay leaves, other than crude or not manufactured",Existing,All investigated economies (universal list),
0910.99.10,Curry,Existing,All investigated economies (universal list),
0910.99.20,"Origanum, crude or not manufactured",Existing,All investigated economies (universal list),
0910.99.40,"Origanum, other than crude or not manufactured",Existing,All investigated economies (universal list),
0910.99.50,Dill,Existing,All investigated economies (universal list),
0910.99.60,"Spices, nesoi",Existing,All investigated economies (universal list),
1001.11.00,"Durum wheat, seed",New,All investigated economies (universal list),
1001.91.00,"Seed of wheat and meslin, other than durum wheat",New,All investigated economies (universal list),
1002.10.00,"Rye, seed",New,All investigated economies (universal list),
1003.10.00,"Barley, seed",New,All investigated economies (universal list),
1003.90.40,"Barley, not seed, other than for malting purposes",Existing,All investigated economies (universal list),
1004.10.00,"Oats, seed",New,All investigated economies (universal list),
1005.10.00,Seed corn (maize),New,All investigated economies (universal list),
1007.10.00,"Grain sorghum, seed",New,All investigated economies (universal list),
1008.21.00,"Millet, seed",New,All investigated economies (universal list),
1008.30.00,Canary seed,Existing,All investigated economies (universal list),
1008.40.00,Fonio (Digitaria spp.),Existing,All investigated economies (universal list),
1008.60.00,Triticale,Existing,All investigated economies (universal list),
1106.20.90,"Flour, meal and powder of sago, or of roots or tubers of heading 0714 (excluding Chinese water chestnuts)",Existing,All investigated economies (universal list),
1106.30.20,"Flour, meal and powder of banana and plantain",Existing,All investigated economies (universal list),
1108.14.00,Cassava (manioc) starch,Existing,All investigated economies (universal list),
1108.19.00,"Starches other than wheat, corn (maize), potato or cassava (manioc) starches",Existing,All investigated economies (universal list),
1201.10.00,"Soybeans, whether or not broken, seed",New,All investigated economies (universal list),
1202.30.05,"Peanuts (ground-nuts), seed, not roasted or cooked, shelled, subject to gen note 15 of the HTS",New,All investigated economies (universal list),
1202.30.40,"Peanuts (ground-nuts), seed, not roasted or cooked, shelled, subject to add. US note 2 to Ch.12",New,All investigated economies (universal list),
1202.30.80,"Peanuts (ground-nuts), seed, not roasted or cooked, shelled, not subject to gen note 15 or add. US note 2 to Ch.12",New,All investigated economies (universal list),
1203.00.00,Copra,Existing,All investigated economies (universal list),
1204.00.0010,"Flaxseed (linseed), whether or not broken, for sowing",New,All investigated economies (universal list),
1205.10.0010,"Low erucic acid rape or colza seeds, for sowing",New,All investigated economies (universal list),
1205.90.0010,"Rape or colza seeds (other than of low erucic acid), whether or not broken, for sowing",New,All investigated economies (universal list),
1206.00.0031,"Sunflower seeds, whether or not broken, for sowing",New,All investigated economies (universal list),
1207.21.00,"Cotton seeds, whether or not broken, seed for sowing",New,All investigated economies (universal list),
1207.30.00,"Castor oil seeds, for sowing",New,All investigated economies (universal list),Ex
1207.40.00,"Sesame seeds, whether or not broken, for sowing",New,All investigated economies (universal list),Ex
1207.50.00,"Mustard seeds, whether or not broken, for sowing",New,All investigated economies (universal list),Ex
1207.60.00,"Safflower (Carthamus tintorius) seeds, for sowing",New,All investigated economies (universal list),Ex
1207.70.00,Melon seeds,New,All investigated economies (universal list),
1207.91.00,"Poppy seeds, whether or not broken",Existing,All investigated economies (universal list),
1207.99.03,"Other oil seeds and oleaginous fruits whether or not broken, including niger seeds, hemp seeds and seeds nesoi, for sowing",New,All investigated economies (universal list),Ex
1209.10.00,Sugar beet seeds of a kind used for sowing,New,All investigated economies (universal list),
1209.21.00,Alfalfa (lucerne) seed of a kind used for sowing,New,All investigated economies (universal list),
1209.22.20,White and ladino clover seeds of a kind used for sowing,New,All investigated economies (universal list),
1209.22.40,"Clover seeds, other than white and ladino, of a kind used for sowing",New,All investigated economies (universal list),
1209.23.00,Fescue seeds of a kind used for sowing,New,All investigated economies (universal list),
1209.24.00,Kentucky blue grass seeds of a kind used for sowing,New,All investigated economies (universal list),
1209.25.00,Rye grass seeds of a kind used for sowing,New,All investigated economies (universal list),
1209.29.10,"Beet seed, other than sugar beet seed, of a kind used for sowing",New,All investigated economies (universal list),
1209.29.91,"Seeds of forage plants of a kind used for sowing, not elsewhere specified or included",New,All investigated economies (universal list),
1209.30.00,Seeds of herbaceous plants cultivated principally for their flowers,New,All investigated economies (universal list),
1209.91.10,Cauliflower seeds of a kind used for sowing,New,All investigated economies (universal list),
1209.91.20,Celery seeds of a kind used for sowing,New,All investigated economies (universal list),
1209.91.40,Onion seeds of a kind used for sowing,New,All investigated economies (universal list),
1209.91.50,Parsley seeds of a kind used for sowing,New,All investigated economies (universal list),
1209.91.60,Pepper seeds of a kind used for sowing,New,All investigated economies (universal list),
1209.91.80,"Vegetable seeds, nesoi, of a kind used for sowing",New,All investigated economies (universal list),
1209.99.20,Tree and shrub seeds of a kind used for sowing,New,All investigated economies (universal list),
1209.99.41,"Seeds, fruits and spores, of a kind used for sowing, nesoi",New,All investigated economies (universal list),
1404.90.90,Other vegetable materials nesoi,Existing,All investigated economies (universal list),
1513.11.00,"Coconut (copra) oil and its fractions, crude oil",Existing,All investigated economies (universal list),
1513.19.00,"Coconut (copra) oil and its fractions, other",Existing,All investigated economies (universal list),
1521.10.00,"Vegetable waxes (other than triglycerides), whether or not refined or colored",Existing,All investigated economies (universal list),
1521.90.20,Bleached beeswax,Existing,All investigated economies (universal list),
1602.50.05,"Offal of bovine animals, prepared or preserved",Existing,All investigated economies (universal list),
1602.50.07,Corned beef in airtight containers,Existing,All investigated economies (universal list),
1602.50.08,"Offal of bovine animals, cured or pickled, not corned beef, not in airtight containers",Existing,All investigated economies (universal list),
1602.50.21,"Offal of bovine animals, other, in airtight containers",Existing,All investigated economies (universal list),
1602.50.60,"Prepared or preserved meat of bovine animals, not containing cereals or vegetables, nesoi",Existing,All investigated economies (universal list),
